term,frequency,document_frequency,in_lexicon,current_valence,n_tickers,n_sectors,example_headlines,window_start,window_end,n_headlines_in_window,is_stopword,review_eligible,exclusion_reason
buzz-u,1460,1460,False,,46,10,"BUZZ-U.S. STOCKS ON THE MOVE-Tesla, Twitter, GE, Riot Blockchain || BUZZ-U.S. STOCKS ON THE MOVE-Tesla, Twitter, Riot Blockchain, Apple || BUZZ-U.S. STOCKS ON THE MOVE-Carnival Corp, Capri Holdings, Kohl's, Immunomedics",2020-01-01,2020-12-31,36955,False,True,
trading,1458,1446,False,,49,10,Advanced Micro Devices shares are trading higher after Nomura Instinet maintained a Buy rating on the stock and raised the price target from $40 to $58. || AMGN February 14th Options Begin Trading || MS February 14th Options Begin Trading,2020-01-01,2020-12-31,36955,False,True,
market,1453,1444,True,0.0,49,10,"Dow Jones Futures Signal Stock Market Gains To Start 2020: Tesla Deliveries Loom; Google, Disney Test Key Support || Jeff Clark’s Market Minute: A Mickey Mouse Tax Plan to Save America || Dow Dogs 2019 Return Unable To Keep Pace With Broader Market",2020-01-01,2020-12-31,36955,True,False,stopword
oil,1372,1195,True,0.010000000000000002,44,10,"Shares of several oil and gas companies are trading higher after the U.S. confirmed an airstrike that killed a top Iranian commander. The death of Soleimani has raised geopolitical concerns in the Middle East, causing oil prices to rise. || Is This The Next Great Oil Frontier? || Flaring Tensions With Iran Could Spark This Geared Oil ETN",2020-01-01,2020-12-31,36955,False,True,
dividend,1281,1271,True,0.0,49,10,"Why Retirees Should Scoop Up This Dividend Stock Before the Next Recession || Pros' Picks: The 13 Best Dividend Stocks for 2020 || Realty Income Corp, Stock Analysis For Monthly Dividend Income",2020-01-01,2020-12-31,36955,False,True,
after,1272,1266,False,,48,10,"Advanced Micro Devices shares are trading higher after Nomura Instinet maintained a Buy rating on the stock and raised the price target from $40 to $58. || Occidental Petroleum Option Alert: Feb 21 $45 Calls Sweep (45) near the Ask: 936 @ $0.891 vs 7304 OI; Earnings 2/11 After Close [est] Ref=$42.19 || Rosenblatt On Qualcomm Notes 'Based on recent observations, 5G smartphone sell-throughs in China have not been as strong as China OEMs expected after the OEMs launched several 5G smartphone models in November and December 2019'",2020-01-01,2020-12-31,36955,True,False,stopword
companies,1212,1171,True,0.0,47,10,"Shares of several oil and gas companies are trading higher after the U.S. confirmed an airstrike that killed a top Iranian commander. The death of Soleimani has raised geopolitical concerns in the Middle East, causing oil prices to rise. || Just Two Companies Accounted For Nearly 20% Of The Market's Entire 2019 Return || Shares of several oil and gas companies are trading higher on continued momentum after the U.S. confirmed an airstrike that killed a top Iranian commander. The death of Soleimani raised geopolitical concerns in the Middle East, causing oil prices to rise.",2020-01-01,2020-12-31,36955,True,False,stopword
etf,1192,1178,False,,48,10,"NOBL, TGT, ABBV, ADM: Large Inflows Detected at ETF || SPDR Portfolio S&P 500 Growth ETF Experiences Big Outflow || ITOT, HD, BA, C: ETF Inflow Alert",2020-01-01,2020-12-31,36955,False,True,
top,1182,1177,True,0.05,49,10,"AMD and Micron Are Among Rosenblatt’s Top Semiconductor Picks for 2020 || Top Stock Reports for Pfizer, BP & Fidelity National Information Services || 5 Top Stock Trades for Friday: The Dow’s Best of 2019",2020-01-01,2020-12-31,36955,False,True,
now,1178,1175,False,,50,10,"GILD vs. TECH: Which Stock Should Value Investors Buy Now? || MRO or OXY: Which Is the Better Value Stock Right Now? || Speaker Of The House Nancy Pelosi Says ""Enough is enough. @HouseDemocrats passed the bipartisan #LowerDrugCosts Now Act last year to stop Big Pharma from charging Americans more for our medicines than what they charge for the same drugs overseas.""",2020-01-01,2020-12-31,36955,False,True,
from,1137,1088,False,,49,10,"Advanced Micro Devices shares are trading higher after Nomura Instinet maintained a Buy rating on the stock and raised the price target from $40 to $58. || Speaker Of The House Nancy Pelosi Says ""Enough is enough. @HouseDemocrats passed the bipartisan #LowerDrugCosts Now Act last year to stop Big Pharma from charging Americans more for our medicines than what they charge for the same drugs overseas."" || American Tower Announces Agreement To Acquire Joint Venture Stakes In Ghana And Uganda From MTN For $523M",2020-01-01,2020-12-31,36955,True,False,stopword
sector,1127,1114,True,0.0,49,10,"Health Care Sector Update for 01/02/2020: JNJ, PFE, ABT, MRK, AMGN, IPHA, ONTX, AERI || Technology Sector Update for 01/02/2020: AMBA,AMZN,TSM,AMD || Technology Sector Update for 01/02/2020: PRSP,AMBA,AMZN,TSM,AMD",2020-01-01,2020-12-31,36955,False,True,
disney,1114,1072,False,,38,10,"Dow Jones Futures Signal Stock Market Gains To Start 2020: Tesla Deliveries Loom; Google, Disney Test Key Support || Dow Jones Rushes 230 Points To Record High Thanks To Disney, Apple || Evidence Suggests Disney+ Subscribers Have Soared to 25 Million",2020-01-01,2020-12-31,36955,False,True,
higher,1110,1098,True,1.5,48,10,"Advanced Micro Devices shares are trading higher after Nomura Instinet maintained a Buy rating on the stock and raised the price target from $40 to $58. || Occidental Petroleum shares are trading higher. The stock moved higher following unusual interest in Feb 21st, $45 call contract. || Shares of several oil and gas companies are trading higher after the U.S. confirmed an airstrike that killed a top Iranian commander. The death of Soleimani has raised geopolitical concerns in the Middle East, causing oil prices to rise.",2020-01-01,2020-12-31,36955,False,True,
price,1110,1109,True,0.0,48,10,"10 Biggest Price Target Changes For Thursday || Advanced Micro Devices shares are trading higher after Nomura Instinet maintained a Buy rating on the stock and raised the price target from $40 to $58. || Nomura Instinet Maintains Buy on Advanced Micro Devices, Raises Price Target to $58",2020-01-01,2020-12-31,36955,False,True,
corp,1095,944,False,,48,10,"Realty Income Corp, Stock Analysis For Monthly Dividend Income || Where Is Sprint Corp Spending Most Of Its Money? || Newmont Corp (NEM) Stalls Out, Watch This Level",2020-01-01,2020-12-31,36955,True,False,stopword
target,1035,1034,True,0.0,50,10,"10 Biggest Price Target Changes For Thursday || Advanced Micro Devices shares are trading higher after Nomura Instinet maintained a Buy rating on the stock and raised the price target from $40 to $58. || Nomura Instinet Maintains Buy on Advanced Micro Devices, Raises Price Target to $58",2020-01-01,2020-12-31,36955,False,True,
will,998,982,True,0.0,47,10,Caterpillar Stock Will Be Boosted by Multiple Macro Trends in 2020 || Will Wheaton Precious Metals’ Silver Division See A Turnaround? || How Will Schlumberger's Revenue Fare As The Shale Industry Slows Down?,2020-01-01,2020-12-31,36955,True,False,stopword
several,941,901,True,0.0,42,10,"Rosenblatt On Qualcomm Notes 'Based on recent observations, 5G smartphone sell-throughs in China have not been as strong as China OEMs expected after the OEMs launched several 5G smartphone models in November and December 2019' || Shares of several oil and gas companies are trading higher after the U.S. confirmed an airstrike that killed a top Iranian commander. The death of Soleimani has raised geopolitical concerns in the Middle East, causing oil prices to rise. || Shares of several gold & silver stocks are trading higher after the U.S. confirmed an airstrike that killed a top Iranian commander. Investors are looking for safe-haven stocks as the death of Soleimani has raised geopolitical concerns in the Middle East.",2020-01-01,2020-12-31,36955,False,True,
that,928,923,False,,48,10,How Does Abbott's Revenue And Other Key Metrics Compare With That of Boston Scientific? || 12 Stocks That Have Been The World's Most Valuable Company || That Nike Store You Walked By Made $34 Million For Nike’s Stock,2020-01-01,2020-12-31,36955,True,False,stopword
today,904,902,False,,47,10,Dow Jones Today: A Roaring Start to 2020 || Why General Electric Stock Popped 5% Today || Why Signet Jewelers Plunged Today,2020-01-01,2020-12-31,36955,False,True,
update,898,898,True,0.034999999999999996,45,10,"Health Care Sector Update for 01/02/2020: JNJ, PFE, ABT, MRK, AMGN, IPHA, ONTX, AERI || Technology Sector Update for 01/02/2020: AMBA,AMZN,TSM,AMD || Technology Sector Update for 01/02/2020: PRSP,AMBA,AMZN,TSM,AMD",2020-01-01,2020-12-31,36955,False,True,
new,874,864,True,0.03,48,10,"UPDATE: Nomura Instinet Maintains Buy On Advanced Micro Devices, Raises Target To $58 As Firm Expects Co. 'to continue strengthening its competitive position in 2020 through a steady stream of new product introductions on 7nm and 7nm+ technologies' || 3 Stocks to Profit From New Year’s Resolutions || Advanced Micro Devices Sets a New High",2020-01-01,2020-12-31,36955,True,False,stopword
you,864,836,False,,48,10,That Nike Store You Walked By Made $34 Million For Nike’s Stock || Why and Where You Buy Qualcomm Stock || 5 High-Yield Dividend Stocks to Make You Richer in 2020,2020-01-01,2020-12-31,36955,True,False,stopword
this,844,835,False,,48,10,Why Retirees Should Scoop Up This Dividend Stock Before the Next Recession || This Is the Biggest Risk for Amazon Stock || Is This The Next Great Oil Frontier?,2020-01-01,2020-12-31,36955,True,False,stopword
lower,828,805,True,-1.5,47,10,"3M Co shares are trading lower in sympathy with the overall market after a U.S. airstrike killed Iranian Major-General Qasem Soleimani. || 4 Reasons Under Armour Will Head Lower in 2020 || Shares of oil companies are trading lower, cooling down from the recent rally as traders' concerns of Middle East tensions ease.",2020-01-01,2020-12-31,36955,False,True,
big,817,809,True,0.07500000000000001,48,10,"SPDR Portfolio S&P 500 Growth ETF Experiences Big Outflow || Speaker Of The House Nancy Pelosi Says ""Enough is enough. @HouseDemocrats passed the bipartisan #LowerDrugCosts Now Act last year to stop Big Pharma from charging Americans more for our medicines than what they charge for the same drugs overseas."" || 3 Big Stock Charts for Thursday: GE, VMWare, and Conagra Brands",2020-01-01,2020-12-31,36955,False,True,
gilead,812,810,False,,33,10,"Bristol-Myers Squibb, Gilead Sciences, Biogen Raised U.S. List Prices on 50+ Drugs on Wednesday an Average of 5% || Gilead Sciences Option Alert: Jan 17 $65 Calls at the Ask: 1500 @ $1.311 vs 32458 OI; Earnings 2/3 After Close [est] Ref=$65.1002 || Better Buy: Gilead Sciences vs. Biogen",2020-01-01,2020-12-31,36955,False,True,
boeing,811,809,False,,31,9,"Why Boeing Stock Lost 11% in December || Boeing, FAA Reportedly Review Wiring Issue On 737 MAX || Boeing To Reassign Up To 3,000 Workers As 737 MAX Production Shuts Down",2020-01-01,2020-12-31,36955,False,True,
its,801,783,False,,47,10,"UPDATE: Nomura Instinet Maintains Buy On Advanced Micro Devices, Raises Target To $58 As Firm Expects Co. 'to continue strengthening its competitive position in 2020 through a steady stream of new product introductions on 7nm and 7nm+ technologies' || Brookfield Infrastructure Partners Dives Deeper Into Data to Keep Growing Its 4% Dividend || Does Visa Deserve Its Bullish Valuation?",2020-01-01,2020-12-31,36955,True,False,stopword
covid-,794,791,False,,48,10,"Did Investors Overreact to Qualcomm's Covid-19 Warning? || Bank Stock Roundup: Covid-19 Virus, Restructuring Efforts, JPM, WFC in Focus || Report: Gilead Struggling to Find Subjects for COVID-19 Drug Trial",2020-01-01,2020-12-31,36955,False,False,trailing hyphen or apostrophe; VADER token mismatch
more,794,779,True,1.5,49,10,"Speaker Of The House Nancy Pelosi Says ""Enough is enough. @HouseDemocrats passed the bipartisan #LowerDrugCosts Now Act last year to stop Big Pharma from charging Americans more for our medicines than what they charge for the same drugs overseas."" || AMD Stock Will Ride Its Lead on Intel to More Long-Term Profitability || Benzinga's Bulls And Bears Of The Week: Apple, Disney, Starbucks, Tiffany And More",2020-01-01,2020-12-31,36955,True,False,stopword
has,779,743,False,,50,10,"Shares of several oil and gas companies are trading higher after the U.S. confirmed an airstrike that killed a top Iranian commander. The death of Soleimani has raised geopolitical concerns in the Middle East, causing oil prices to rise. || Has Occidental Petroleum Suffered Enough? || Nokia Has Momentum Early in 2020, but Is It a Buy?",2020-01-01,2020-12-31,36955,True,False,stopword
amid,769,750,False,,46,10,"Shares of oil companies are trading lower amid the de-escalation of US-Iran tensions as well as a build in US crude inventories reported on Wednesday. || Shares of precious metals companies are trading higher on geopolitical volatility amid US-Iran tensions this past week. While tensions appear to have de-escalated, uncertainty remains amid investigations into a downed Ukrainian passenger jet in Iran. || Big Bank Earnings Mixed So Far As Earning Season Ramps Up Amid Low Expectations",2020-01-01,2020-12-31,36955,True,False,stopword
investors,758,757,False,,47,10,GILD vs. TECH: Which Stock Should Value Investors Buy Now? || Attention Biotech Investors: Mark Your Calendar For These January PDUFA Dates || Does Medtronic's Current P/E Ratio Offer Any Opportunity To Investors?,2020-01-01,2020-12-31,36955,False,True,
could,731,723,False,,48,10,3 Reasons Why GE Stock Could Rally Another 20% in 2020 || Why 2020 Could be Another Big Year for Luckin Coffee Stock || General Electric Stock Could Have Another Huge Year in 2020,2020-01-01,2020-12-31,36955,True,False,stopword
financial,725,701,True,0.0,47,10,"Financial Sector Update for 01/02/2020: JPM, BAC, WFC, C, USB, TCFC, APO, GLRE || 26 Financial Services Stocks Moving In Friday's Pre-Market Session || Financial Sector Update for 01/03/2020: HSBC, JPM, BAC, WFC, C, USB, CS",2020-01-01,2020-12-31,36955,False,True,
week,700,700,False,,49,10,"AMD Hits a New 52-Week High, Sees a Powerful Start to 2020 || AskSlim Market Week, Jan. 3 || Benzinga's Bulls And Bears Of The Week: Apple, Disney, Starbucks, Tiffany And More",2020-01-01,2020-12-31,36955,False,True,
jones,687,687,False,,27,10,"Dow Jones Futures Signal Stock Market Gains To Start 2020: Tesla Deliveries Loom; Google, Disney Test Key Support || Dow Jones News: Microsoft, Intel Hit the Ground Running in 2020 || 5-Year Returns for 5 Dow Jones Stocks Entering 2020",2020-01-01,2020-12-31,36955,False,True,
how,680,679,False,,48,10,How Does Abbott's Revenue And Other Key Metrics Compare With That of Boston Scientific? || How Much Of Boeing's Revenues Comes From The U.S. Government? || How Much Of Lockheed Martin's Revenues Comes From The U.S. Government?,2020-01-01,2020-12-31,36955,True,False,stopword
global,668,623,True,0.0,47,10,Merck Buys Exclusive Global License from Taiho and Astex for its Small Molecule Inhibitor Candidates for $50M Upfront and Milestone Payments || AbbVie To Create New Global Business Upon Completion Of Allergan Acquisition || AT&T To Present At The Citi 2020 Global TMT West Conference; Webcast At 2:00 PM,2020-01-01,2020-12-31,36955,False,True,
wall,655,655,True,0.0,39,10,A Company That Helps Employees Navigate Their Healthcare Benefits Has Asked Wall Street for Help Going Public || The Smartest People On Wall Street Are Buying These 3 Stocks -- Should You Follow? || Wall Street Roundup: Analysts Just Gave These 3 Stocks a Thumbs Up,2020-01-01,2020-12-31,36955,False,True,
better,635,635,True,1.5,46,10,MRO or OXY: Which Is the Better Value Stock Right Now? || Better Buy: Abbott Laboratories vs. Pfizer || Better Buy: Square vs. Visa,2020-01-01,2020-12-31,36955,False,True,
these,626,626,False,,48,10,Attention Biotech Investors: Mark Your Calendar For These January PDUFA Dates || Warren Buffett Bought These 9 Stocks in 2019 || Jeff Clark’s Market Minute: These Stocks Will Carry the Market in 2020,2020-01-01,2020-12-31,36955,False,True,
street,625,625,False,,42,10,A Company That Helps Employees Navigate Their Healthcare Benefits Has Asked Wall Street for Help Going Public || The Smartest People On Wall Street Are Buying These 3 Stocks -- Should You Follow? || State Street (STT) Q4 Earnings Top Estimates on Cost Savings,2020-01-01,2020-12-31,36955,False,True,
says,609,580,False,,41,10,"Speaker Of The House Nancy Pelosi Says ""Enough is enough. @HouseDemocrats passed the bipartisan #LowerDrugCosts Now Act last year to stop Big Pharma from charging Americans more for our medicines than what they charge for the same drugs overseas."" || Exxon Mobil Says Q4 Earnings Will Benefit From Var Energi Sale || HOOKIPA Says it has Made Strong Progress in its Collaboration with Gilead for Cures to Hepatitis B and HIV",2020-01-01,2020-12-31,36955,True,False,stopword
report,607,607,True,0.0,50,10,"Daily Dividend Report: DUK, COG, EME, PFLT || Validea Motley Fool Strategy Daily Upgrade Report - 1/9/2020 || New Report Indicates Mortgage Originators Will Be a Good Investment in 2020",2020-01-01,2020-12-31,36955,False,True,
llc,586,584,False,,29,10,"Towerpoint Wealth, LLC Buys PIMCO Enhanced Short Maturity Active Exchange-Trad, First Trust ... || Palisade Asset Management, LLC Buys Globe Life Inc, Energy Select Sector SPDR Fund, Edwards ... || Buckley Wealth Management, LLC Buys Occidental Petroleum Corp, Anthem Inc, Bristol-Myers Squibb ...",2020-01-01,2020-12-31,36955,False,True,
can,572,572,True,0.0,47,10,Why Advanced Micro Devices Stock Can Keep Rising || Can Plug Power Really Hit $1 Billion in Sales by 2024? || Dow Jones Futures: Can Stock Market Rally Hold In Bullish Channel As Iran Exits Nuclear Deal? 7 Stocks Near Buy Points,2020-01-01,2020-12-31,36955,True,False,stopword
activity,571,571,True,0.03,49,10,"Noteworthy Thursday Option Activity: DRI, GS, DVN || Notable Thursday Option Activity: C, MMM, UNH || Noteworthy Thursday Option Activity: BLK, REGN, TMUS",2020-01-01,2020-12-31,36955,False,True,
should,567,567,False,,47,10,GILD vs. TECH: Which Stock Should Value Investors Buy Now? || Why Retirees Should Scoop Up This Dividend Stock Before the Next Recession || 9 Boring Stocks to Buy You Should Never Let Go Of,2020-01-01,2020-12-31,36955,True,False,stopword
management,559,552,False,,40,10,"Netflix Is Still Thriving, Just as Management Predicted || Better Buy: Boeing vs. Brookfield Asset Management || Micron Stock Is Likely to Sink If Management’s Forecast Proves Too Rosy",2020-01-01,2020-12-31,36955,False,True,
amd,539,538,False,,32,9,"AMD and Micron Are Among Rosenblatt’s Top Semiconductor Picks for 2020 || Technology Sector Update for 01/02/2020: AMBA,AMZN,TSM,AMD || Technology Sector Update for 01/02/2020: PRSP,AMBA,AMZN,TSM,AMD",2020-01-01,2020-12-31,36955,False,True,
capital,532,529,True,0.020000000000000004,47,10,"BMO Capital Maintains Outperform on Amgen, Raises Price Target to $275 || 5 Dividend Aristocrats Where Analysts See Capital Gains || BMO Capital Maintains Outperform on DuPont de Nemours, Lowers Price Target to $82",2020-01-01,2020-12-31,36955,False,True,
option,525,525,True,0.045000000000000005,46,10,"Noteworthy Thursday Option Activity: DRI, GS, DVN || Notable Thursday Option Activity: C, MMM, UNH || Occidental Petroleum Option Alert: Feb 21 $45 Calls Sweep (45) near the Ask: 936 @ $0.891 vs 7304 OI; Earnings 2/11 After Close [est] Ref=$42.19",2020-01-01,2020-12-31,36955,False,True,
but,523,522,False,,47,10,"Nokia Has Momentum Early in 2020, but Is It a Buy? || Amazon's Biggest Threat Isn't a Huge Competitor but a Collective || Dow Jones Under Pressure But Trims Losses As Apple, McDonald's Stocks Rise",2020-01-01,2020-12-31,36955,True,False,stopword
may,522,519,True,0.0,46,10,Daily Markets: Bull Market May Have Met Its Bear || A 2019 Review of Dow Jones Stocks (And What 2020 May Bring) || Shares of several semiconductor companies are trading higher. Not seeing any news to justify the price action in the sector. NOTE: The sector could be trading higher as CES 2020 continues to unveil new technology that may involve some of these companies.,2020-01-01,2020-12-31,36955,True,False,stopword
economic,516,502,True,0.0,47,10,"Rising Economic Tailwinds Will Push Visa Stock Above $200 Soon || Dow Jones Today: More Records With Some Help From Economic Data || A Peek Into The Markets: US Stock Futures Up Ahead Of Earnings, Economic Data",2020-01-01,2020-12-31,36955,False,True,
growth,514,508,True,1.5,49,10,SPDR Portfolio S&P 500 Growth ETF Experiences Big Outflow || Purchase Qualcomm Stock Gradually Until Earnings Growth Heats Up || 5 Dividend Growth Stocks With Upside To Analyst Targets,2020-01-01,2020-12-31,36955,False,True,
options,514,514,False,,50,10,AMGN February 14th Options Begin Trading || MS February 14th Options Begin Trading || NKE February 14th Options Begin Trading,2020-01-01,2020-12-31,36955,False,True,
maintains,512,512,False,,41,10,"Nomura Instinet Maintains Buy on Advanced Micro Devices, Raises Price Target to $58 || UPDATE: Nomura Instinet Maintains Buy On Advanced Micro Devices, Raises Target To $58 As Firm Expects Co. 'to continue strengthening its competitive position in 2020 through a steady stream of new product introductions on 7nm and 7nm+ technologies' || Stifel Maintains Buy on Schlumberger, Raises Price Target to $47",2020-01-01,2020-12-31,36955,False,True,
movers,512,512,False,,42,10,"Dow Movers: UNH, BA || Dow Movers: JPM, CVX || Dow Movers: AXP, XOM",2020-01-01,2020-12-31,36955,False,True,
over,509,509,False,,47,10,"Will Roku Carry Momentum Over Into 2020? || UPDATE: Goldman Sachs On U.S. Bancorp Notes 'with its leading ROTCE that has been over 600bp higher than peers since 2015 declining to only a 250bp premium by 2021E, driven by weaker operating leverage' || Up Over 1,000% in 6 Months, FuelCell Energy Stock Busts Out of the Basement",2020-01-01,2020-12-31,36955,True,False,stopword
bank,508,490,True,0.0,43,10,"UPDATE: BMO On Bank Of America Notes 'We recommend investors switch out of BAC shares into C and MS shares, which have yet to rerate to long-term historical threshold valuation multiples' || UPDATE: Goldman Sachs Downgrades U.S. Bancorp To Sell, Announces $55 Target Notes 'While USB remains a best-in-class bank (as measured by returns), we judge that the significant returns gap relative to its peers will continue to close' || Buy Bank of America Stock for What It Is",2020-01-01,2020-12-31,36955,False,True,
right,501,501,True,0.07500000000000001,47,10,"MRO or OXY: Which Is the Better Value Stock Right Now? || 3 Top Tech Stocks to Buy Right Now || Where to Invest $100,000 Right Now",2020-01-01,2020-12-31,36955,False,True,
sells,501,501,False,,39,10,"Progress Rail Sells Its Leasing Segment To Paceline Equity Partners || Occidental Petroleum Sells Real Estate Holdings for $565M, Enters New Operating Agreements with Western Midstream || Page Arthur B Buys Becton, Dickinson and Co, Chevron Corp, AIA Group, Sells EOG Resources Inc",2020-01-01,2020-12-31,36955,False,True,
intel,495,494,False,,20,8,"Dow Jones News: Microsoft, Intel Hit the Ground Running in 2020 || AMD Stock Will Ride Its Lead on Intel to More Long-Term Profitability || Dow Jones News: Intel Product Reveals Fail to Impress; Boeing Rises on Buffett Rumor",2020-01-01,2020-12-31,36955,False,True,
walmart,485,474,False,,27,10,Walmart and Amazon’s Biggest Challenge Is Here || Walmart’s Deep Bench Will Keep Powering the Stock in 2020 || SmileDirectClub and Walmart Team Up on Distribution Deal,2020-01-01,2020-12-31,36955,False,True,
what,484,480,False,,46,10,"Speaker Of The House Nancy Pelosi Says ""Enough is enough. @HouseDemocrats passed the bipartisan #LowerDrugCosts Now Act last year to stop Big Pharma from charging Americans more for our medicines than what they charge for the same drugs overseas."" || What Are Walgreens Key Sources of Revenue? || What Trump’s Airstrikes in Iran Mean for Investors Now",2020-01-01,2020-12-31,36955,True,False,stopword
call,481,481,True,0.0,49,10,"Occidental Petroleum shares are trading higher. The stock moved higher following unusual interest in Feb 21st, $45 call contract. || Interesting XOM Put And Call Options For February 14th || Interesting V Put And Call Options For February 28th",2020-01-01,2020-12-31,36955,False,True,
pandemic,475,470,True,-0.06999999999999999,48,10,"Pandemic Fears Not Enough to Buy Inovio Stock || Special Issue: Coronavirus, Amarin, The WHO And Pandemic Bonds || Special Issue: Coronavirus, Amarin, The WHO And Pandemic Bonds.",2020-01-01,2020-12-31,36955,False,True,
stimulus,464,458,True,0.08000000000000002,44,10,"China Stimulus Doesn't Translate Into US Strength As Deere Prepares To Report Friday || Dow Jones Today: Primary Results, Stimulus Speculation Prove Potent || This Pandemic Needs Fiscal Stimulus",2020-01-01,2020-12-31,36955,False,True,
tech,462,459,True,0.0,40,10,"GILD vs. TECH: Which Stock Should Value Investors Buy Now? || Top Tech Show Starts, Earnings Season Creeps Up: Investing Action Plan || 3 Top Tech Stocks to Buy Right Now",2020-01-01,2020-12-31,36955,False,True,
