trading_date,ticker,sector,raw_title,baseline_compound,extended_compound,score_delta,matched_custom_terms
2023-05-16,KO,Consumer,Turkey's market rout deepens after Erdogan's strong election showing,0.3622,-0.4758,-0.8380000000000001,rout
2021-06-21,CVX,Energy,US STOCKS-Futures rise after Fed-induced rout,0.3612,-0.4767,-0.8379000000000001,rout
2021-06-21,SLB,Energy,US STOCKS-Futures rise after Fed-induced rout,0.3612,-0.4767,-0.8379000000000001,rout
2021-06-21,GS,Financials,US STOCKS-Futures rise after Fed-induced rout,0.3612,-0.4767,-0.8379000000000001,rout
2021-06-21,XOM,Energy,US STOCKS-Futures rise after Fed-induced rout,0.3612,-0.4767,-0.8379000000000001,rout
2021-06-21,OXY,Energy,US STOCKS-Futures rise after Fed-induced rout,0.3612,-0.4767,-0.8379000000000001,rout
2021-11-11,DIS,Consumer,"S&P 500, Nasdaq rise after inflation-led rout; Disney weighs on Dow",0.3612,-0.4767,-0.8379000000000001,rout
2022-02-04,MS,Financials,"US STOCKS-Nasdaq ends choppy week higher, as Amazon earnings stall tech rout",0.481,-0.3559,-0.8369,rout
2022-02-04,WFC,Financials,"US STOCKS-Nasdaq ends choppy week higher, as Amazon earnings stall tech rout",0.481,-0.3559,-0.8369,rout
2022-02-04,OXY,Energy,"US STOCKS-Nasdaq ends choppy week higher, as Amazon earnings stall tech rout",0.481,-0.3559,-0.8369,rout
2022-02-04,OXY,Energy,"US STOCKS-Wall Street turns higher in seesaw session, Amazon earnings stall tech rout",0.4828,-0.3538,-0.8366,rout
2021-05-11,OXY,Energy,US STOCKS-Tech rout set to extend as investors fear rising inflation,0.3442,-0.4905,-0.8347,rout
2021-05-11,CVX,Energy,US STOCKS-Tech rout set to extend as investors fear rising inflation,0.3442,-0.4905,-0.8347,rout
2023-03-14,WFC,Financials,"US STOCKS-Futures rise after bank rout, CPI data awaited",0.34,-0.4939,-0.8339000000000001,rout
2022-10-27,AMD,Tech,Tech rout widens as Meta sinks after results,0.0,-0.8316,-0.8316,"rout, sinks"
2022-10-27,NVDA,Tech,Tech rout widens as Meta sinks after results,0.0,-0.8316,-0.8316,"rout, sinks"
2023-03-14,MS,Financials,Shares of US regional banks attempt recovery after SVB-fueled rout,0.3182,-0.5106,-0.8288,rout
2023-10-04,SLB,Energy,Stocks Mixed as Bond Rout Eases,0.3182,-0.5106,-0.8288,rout
2023-03-14,WFC,Financials,Shares of US regional banks attempt recovery after SVB-fueled rout,0.3182,-0.5106,-0.8288,rout
2023-03-14,MS,Financials,Shares of US regional banks lick wounds after SVB-fueled rout,0.296,-0.5267,-0.8227,rout
2023-03-14,WFC,Financials,Shares of US regional banks lick wounds after SVB-fueled rout,0.296,-0.5267,-0.8227,rout
2023-03-14,GS,Financials,Shares of US regional banks lick wounds after SVB-fueled rout,0.296,-0.5267,-0.8227,rout
2021-01-04,KO,Consumer,Dow Jones Tumbles to Start 2021; Apple Called Top FAANG Stock; Coca-Cola Stock Downgraded,0.0129,-0.8047,-0.8176,"downgraded, tumbles"
